dealer_id,vehicle_id,model,age_years,kilometer,days_in_stock,current_price,fair_price,gap_pct,sell_prob_30d,est_gp,action
MB-E07,CPO-081,E-Class,3.6,1.3,59,277057.8802,267891.4086,0.0342,0.4494,19394.0516,Hold
MB-E07,CPO-082,E-Class,3.5,6.0,128,283191.8544,252295.8649,0.1225,0.2271,19823.4298,Reprice
MB-E07,CPO-083,E-Class,2.1,1.5,82,362359.5784,313226.561,0.1569,0.3314,25365.1705,Reprice
MB-E07,CPO-084,GLA,3.6,6.0,86,137437.0756,152387.2689,-0.0981,0.542,9620.5953,Raise
MB-E07,CPO-085,C-Class,2.5,9.7,18,186940.3488,194940.2186,-0.041,0.6815,13085.8244,Hold
MB-E07,CPO-086,EQE,4.3,5.5,47,289543.5859,282451.9456,0.0251,0.538,20268.051,Hold
MB-E07,CPO-087,E-Class,3.1,6.7,96,317977.8011,260026.3032,0.2229,0.1786,22258.4461,Reprice
MB-E07,CPO-088,E-Class,2.8,3.8,78,353200.435,300890.8157,0.1738,0.2815,24724.0304,Reprice
MB-E07,CPO-089,GLA,3.4,5.5,61,151341.8677,155118.3429,-0.0243,0.4899,10593.9307,Hold
MB-E07,CPO-090,A-Class,5.2,6.0,14,99804.5038,98065.4127,0.0177,0.5716,6986.3153,Hold
MB-E07,CPO-091,E-Class,5.4,6.6,60,200174.0719,179493.5098,0.1152,0.3359,14012.185,Reprice
MB-E07,CPO-092,E-Class,1.5,3.6,101,394426.4204,339603.8917,0.1614,0.2708,27609.8494,Reprice
MB-E07,CPO-093,GLA,3.5,4.6,92,158241.3087,149035.2806,0.0618,0.3264,11076.8916,Transfer
MB-E07,CPO-094,C-Class,3.7,6.9,55,188976.6589,177877.3545,0.0624,0.4175,13228.3661,Hold
MB-E07,CPO-095,GLC,3.4,2.9,93,242167.2776,231816.495,0.0447,0.4006,16951.7094,Transfer
MB-E07,CPO-096,GLA,3.6,7.4,5,168759.0247,153540.6971,0.0991,0.488,11813.1317,Hold
MB-E07,CPO-097,E-Class,2.4,2.2,114,361271.1108,323415.5292,0.117,0.3069,25288.9778,Reprice
MB-E07,CPO-098,C-Class,2.3,5.4,19,220821.7053,216057.5492,0.0221,0.4897,15457.5194,Hold
MB-E07,CPO-099,C-Class,1.3,8.7,76,260457.8512,230571.4796,0.1296,0.2708,18232.0496,Reprice
MB-E07,CPO-100,E-Class,4.0,6.4,143,271156.0193,244153.5293,0.1106,0.195,18980.9213,Reprice
MB-E07,CPO-101,A-Class,2.4,5.5,16,155624.9717,146621.9311,0.0614,0.4343,10893.748,Hold
MB-E07,CPO-102,GLC,2.9,4.9,40,227657.0621,238893.2237,-0.047,0.5792,15935.9943,Hold
MB-E07,CPO-103,S-Class,0.9,4.2,48,599403.3995,644396.868,-0.0698,0.5553,41958.238,Raise
MB-E07,CPO-104,E-Class,4.9,5.2,101,247871.9533,224658.5262,0.1033,0.1687,17351.0367,Reprice
MB-E07,CPO-105,S-Class,1.1,3.9,6,647694.6269,635138.4246,0.0198,0.5907,45338.6239,Hold
MB-E07,CPO-106,E-Class,1.4,11.8,129,356842.3557,314308.3336,0.1353,0.1877,24978.9649,Reprice
MB-E07,CPO-107,GLA,5.0,7.9,51,118508.0495,113672.491,0.0425,0.5071,8295.5635,Hold
MB-E07,CPO-108,GLA,2.6,4.3,30,152121.4458,164085.7643,-0.0729,0.664,10648.5012,Raise
MB-E07,CPO-109,GLA,3.3,4.7,26,154916.37,148837.7843,0.0408,0.4754,10844.1459,Hold
MB-E07,CPO-110,GLA,1.1,5.4,36,198058.651,191950.9667,0.0318,0.5299,13864.1056,Hold
MB-E07,CPO-111,C-Class,2.8,8.7,33,196400.939,190516.7022,0.0309,0.536,13748.0657,Hold
MB-E07,CPO-112,GLA,3.2,5.2,119,151462.3904,156111.9038,-0.0298,0.4437,10602.3673,Transfer
MB-E07,CPO-113,A-Class,3.5,2.6,71,147937.9552,133282.7862,0.11,0.3982,10355.6569,Reprice
MB-E07,CPO-114,E-Class,4.7,4.8,108,270164.9538,216796.0733,0.2462,0.0964,18911.5468,Reprice
MB-E07,CPO-115,GLC,3.4,8.5,16,206987.2494,212174.9008,-0.0244,0.6823,14489.1075,Hold
MB-E07,CPO-116,E-Class,3.3,5.1,165,307145.4422,259091.0465,0.1855,0.1623,21500.181,Reprice
MB-E07,CPO-117,GLE,4.1,7.7,27,312413.6501,313727.0153,-0.0042,0.5166,21868.9555,Hold
MB-E07,CPO-118,GLA,3.8,3.4,59,144209.7788,150711.6995,-0.0431,0.521,10094.6845,Hold
MB-E07,CPO-119,E-Class,2.8,5.7,103,314244.1371,280229.33,0.1214,0.3184,21997.0896,Reprice
MB-E07,CPO-120,C-Class,3.3,6.6,63,202863.705,184440.9795,0.0999,0.4077,14200.4594,Reprice
MB-E07,CPO-121,E-Class,1.8,2.7,50,318753.4708,321422.4215,-0.0083,0.4626,22312.743,Hold
MB-E07,CPO-122,C-Class,3.2,3.1,22,205520.666,197620.3596,0.04,0.5582,14386.4466,Hold
MB-E07,CPO-123,GLC,1.9,6.0,16,283456.5312,268306.1054,0.0565,0.5807,19841.9572,Hold
MB-E07,CPO-124,E-Class,1.9,3.6,99,377627.5495,317903.6395,0.1879,0.1502,26433.9285,Reprice
MB-E07,CPO-125,A-Class,2.2,5.2,47,150164.0625,146605.6818,0.0243,0.5373,10511.4844,Hold
MB-E07,CPO-126,E-Class,3.7,3.2,87,300511.183,265316.1455,0.1327,0.3728,21035.7828,Reprice
MB-E07,CPO-127,GLA,3.5,8.3,5,167527.5845,150553.298,0.1127,0.4499,11726.9309,Hold
MB-E07,CPO-128,C-Class,3.4,6.8,32,191573.7263,182027.8811,0.0524,0.4429,13410.1608,Hold
MB-E07,CPO-129,GLA,4.0,3.2,61,139802.7899,140673.1499,-0.0062,0.4708,9786.1953,Hold
MB-E07,CPO-130,GLC,3.0,5.3,26,251493.6669,242694.5015,0.0363,0.5358,17604.5567,Hold
MB-E07,CPO-131,GLC,2.8,8.2,34,226266.2967,236315.5743,-0.0425,0.5919,15838.6408,Hold
MB-E07,CPO-132,EQE,5.0,3.0,67,242417.6491,240698.7322,0.0071,0.5723,16969.2354,Hold
MB-E07,CPO-133,C-Class,1.9,8.7,36,216657.5602,214398.7157,0.0105,0.5706,15166.0292,Hold
MB-E07,CPO-134,GLC,4.3,6.7,7,188571.5423,198341.1264,-0.0493,0.5737,13200.008,Hold
MB-E07,CPO-135,GLC,3.2,3.8,5,257786.5431,237710.4067,0.0845,0.4956,18045.058,Hold
MB-E07,CPO-136,S-Class,4.8,7.1,106,339093.9212,363312.831,-0.0667,0.3946,23736.5745,Transfer
MB-E07,CPO-137,E-Class,1.8,7.1,136,380311.7538,326291.5084,0.1656,0.2248,26621.8228,Reprice
MB-E07,CPO-138,GLC,1.9,4.0,10,295365.3648,273204.11,0.0811,0.456,20675.5755,Hold
MB-E07,CPO-139,C-Class,4.2,8.8,70,166639.0022,156610.6923,0.064,0.3627,11664.7302,Hold
MB-E07,CPO-140,C-Class,4.3,0.8,48,156899.2952,176266.5461,-0.1099,0.5395,10982.9507,Raise
