dealer_id,region,nc_target,nc_units,nc_achv,cpo_target,cpo_units,cpo_achv,vans_target,vans_units,vans_achv,retail_units,cpo_penetration,asp,gp_per_unit,discount_rate,conversion,days_to_sale,days_supply,aging_90,yoy,as_revenue,as_target,as_gp,ro_volume,absorption,workshop_util,tech_eff,aro,parts_per_ro,parts_fill,service_retention,ftf,repeat_repair,csi,warranty_mix,compliance,sales_index,aftersales_index,cx_index,compliance_index,dealer_score,rank
MB-N07,North,1260,1366,1.0843,595,503,0.8468,257,314,1.2233,2183,0.2691,428474.5613,20327.0547,0.0708,0.2871,30.2516,37.0918,0.1741,0.0204,86520441.045,76256809.3184,40271774.5464,21271,1.027,0.7591,1.0052,4067.5305,3.955,0.9527,0.6957,0.7401,0.0691,88.8446,0.3178,0.9811,66.1231,43.4876,48.0874,86.7666,56.5275,11
MB-E06,East,943,1075,1.1407,655,592,0.9038,134,144,1.0786,1811,0.3551,440890.0433,20205.4481,0.0965,0.2074,51.1053,75.7339,0.0784,0.0763,73122070.6411,72639524.5522,27285979.1978,21511,1.2164,0.913,1.0038,3399.2874,2.9486,0.9414,0.7929,0.8865,0.0606,83.417,0.2887,0.8761,50.3086,76.9492,34.9592,13.1138,55.4707,12
MB-E09,East,1495,1344,0.8992,755,800,1.0602,259,320,1.2356,2464,0.3731,493208.3811,20759.6033,0.0633,0.1897,29.4254,68.8517,0.1669,-0.0691,93310938.939,87620025.5345,40369930.6875,28561,0.9735,0.8123,0.9966,3267.0753,3.1279,0.897,0.7396,0.9361,0.0533,91.2772,0.3175,1.0,43.1584,58.9954,64.284,100.0,54.7123,13
MB-E03,East,1369,1434,1.048,441,358,0.8135,244,195,0.8002,1987,0.1998,398071.5461,20620.2372,0.0727,0.2088,18.0,56.4443,0.1241,0.0727,91150307.1529,93291258.8751,37454908.7681,21830,0.9064,0.6488,1.0212,4175.4607,2.8612,0.9713,0.8286,0.9205,0.0761,94.0734,0.2739,0.9602,45.9725,47.346,87.4614,72.0653,53.9812,14
MB-C01,Central,1408,1335,0.9485,641,600,0.9362,267,270,1.0148,2205,0.3101,412116.6683,18898.7154,0.061,0.3046,25.663,59.4105,0.1454,-0.0013,98083024.0198,109211251.2698,38098497.699,12785,1.0185,0.7229,0.9154,7671.7266,3.756,0.9386,0.7805,0.9136,0.0746,86.8782,0.3312,0.9771,48.6011,56.9334,49.1783,83.9453,53.3712,15
MB-S02,South,1369,1340,0.979,575,622,1.0829,221,217,0.9834,2179,0.317,400733.318,14542.045,0.069,0.2442,39.0726,33.4581,0.1516,0.0038,75176912.5663,69735471.0853,35072588.9042,17508,0.8844,0.7243,1.0089,4293.8607,3.8523,0.9168,0.8074,0.9267,0.0555,90.6648,0.2407,0.9395,50.8612,48.3334,69.5158,57.5771,53.1105,16
MB-S09,South,1476,1698,1.151,545,496,0.9104,280,343,1.2272,2537,0.2261,448435.0641,14154.1055,0.072,0.237,36.016,66.2403,0.0824,0.0409,98017820.7279,89652831.3005,38069948.1033,18850,0.9073,0.7155,1.0163,5199.8844,3.6824,0.9456,0.7023,0.9248,0.0773,91.9801,0.3298,0.964,53.4463,44.4466,63.072,74.744,52.8051,17
MB-C10,Central,1473,1512,1.0271,533,514,0.9656,256,310,1.2124,2336,0.2537,403822.859,19870.2453,0.0888,0.2405,41.53,37.5095,0.0842,0.1109,82255699.282,78528085.1662,36035600.6525,10935,0.7872,0.7621,0.9181,7522.2404,3.1662,0.9165,0.6517,0.8626,0.0186,94.2486,0.422,0.9841,61.2253,30.1177,67.3799,88.8349,52.6413,18
MB-C06,Central,1348,1292,0.9588,475,474,0.9997,179,192,1.0743,1958,0.2684,407052.1164,18403.9611,0.0845,0.2497,49.4567,46.0833,0.1117,-0.0281,102524214.4271,117844617.0566,43521689.049,18204,0.8582,0.8556,0.9883,5631.9608,2.9023,0.9421,0.7261,0.8585,0.0282,90.6779,0.3778,0.9682,50.1934,48.1524,59.9865,77.7233,52.3245,19
MB-N04,North,1535,1607,1.0473,495,394,0.7973,303,270,0.8937,2271,0.1969,407552.7519,15768.1622,0.0952,0.2585,20.3862,36.7264,0.0523,0.053,110398070.3605,113434129.3343,47474043.0331,16523,0.8153,0.673,0.9583,6681.4786,3.8736,0.9193,0.8078,0.8979,0.0573,90.0518,0.3692,0.9959,48.7534,43.5056,66.7772,97.1342,52.0393,20
MB-S04,South,1602,1674,1.0454,439,378,0.8631,298,287,0.9652,2339,0.1842,452927.9185,20879.9307,0.0796,0.2353,39.7908,48.8234,0.1017,0.0153,69370808.8533,68639652.935,28736726.1774,15401,0.8405,0.8039,0.7865,4504.3055,3.492,0.938,0.7554,0.8662,0.0295,90.3849,0.2575,0.9716,54.9909,39.7657,62.1127,80.1162,51.9866,21
MB-W09,West,1334,1259,0.9441,588,661,1.1254,152,120,0.7951,2040,0.3443,403870.7181,19937.7843,0.086,0.2722,22.6009,62.2465,0.1236,0.066,92922966.4754,101188079.8388,44399132.0722,20771,0.9761,0.7696,0.9708,4473.6877,4.0652,0.9295,0.7237,0.9027,0.0253,87.9823,0.3816,0.9305,50.8606,55.1175,47.4789,51.2465,51.8626,22
MB-N03,North,1537,1595,1.0384,380,437,1.1503,127,115,0.9111,2147,0.2151,377554.6543,15290.539,0.0656,0.1778,29.7836,80.1057,0.0833,0.0614,71397272.4069,70559342.0759,25015372.5196,17543,1.1455,0.7692,1.0272,4069.8439,3.6275,0.9254,0.6644,0.9415,0.0545,93.0823,0.2969,0.9523,39.5711,58.5478,63.592,66.5546,51.1653,23
MB-W06,West,1554,1813,1.1671,572,616,1.0778,280,185,0.6617,2614,0.2536,375648.1137,20376.9532,0.0568,0.254,50.4435,58.2457,0.1733,0.1254,85323893.8439,85523605.3583,36454594.4653,20745,0.7643,0.7999,0.8596,4112.986,3.2274,0.9234,0.5828,0.8395,0.05,94.981,0.2568,0.955,64.6396,25.1357,62.5725,68.4394,50.6931,24
MB-E05,East,1634,1612,0.9867,392,410,1.0482,229,251,1.098,2273,0.2028,465577.196,11567.9059,0.0533,0.2935,43.4738,73.1081,0.0972,0.0176,88397644.8494,94622390.6989,31716503.2617,16390,0.9317,0.8546,1.0591,5393.3889,3.5859,0.9442,0.8282,0.8589,0.0388,86.8862,0.3342,1.0,39.8891,54.5328,54.8404,100.0,50.2626,25
MB-W05,West,1400,1397,0.9985,680,632,0.9306,307,223,0.7267,2252,0.3115,368945.1134,16604.0273,0.0729,0.2454,34.3551,61.2837,0.0916,-0.1094,84519247.7272,89813950.9796,34957683.3089,17354,0.9856,0.8068,1.0025,4870.3035,3.7907,0.913,0.7671,0.8991,0.0368,88.1521,0.3456,1.0,38.3533,56.2918,53.3682,100.0,49.9663,26
MB-C09,Central,1181,1457,1.2343,671,698,1.0405,223,169,0.7623,2324,0.3239,414027.2563,14720.5226,0.0648,0.3053,34.4706,51.407,0.1696,0.0483,71977161.9913,71862761.2741,26119796.0223,17004,0.9354,0.6298,1.001,4232.9547,3.512,0.9543,0.6808,0.9058,0.0378,85.6641,0.3448,0.9502,66.4348,33.7849,31.9139,65.0781,49.7614,27
MB-S06,South,1387,1471,1.0606,658,666,1.0124,292,186,0.6401,2323,0.3117,414596.2004,15377.1305,0.0933,0.2732,48.3489,59.6704,0.1066,0.0722,60823199.1337,62727826.4779,24225198.1651,20958,0.8743,0.8621,0.9484,2902.1471,3.8276,0.99,0.8191,0.9279,0.0809,87.4022,0.2938,0.9162,45.9025,51.8203,56.1041,41.2243,49.2701,28
MB-E02,East,1628,1654,1.0164,661,796,1.2047,285,279,0.982,2729,0.3249,347623.9347,16409.6375,0.064,0.224,43.6428,48.9944,0.1064,0.058,77203661.0962,82451918.3565,32694770.948,21942,0.8597,0.7574,0.9515,3518.5335,3.545,0.9137,0.6866,0.8807,0.0363,87.9674,0.3064,1.0,54.9463,37.0945,43.0381,100.0,49.1646,29
MB-N06,North,1085,828,0.764,472,558,1.1823,163,126,0.7733,1512,0.4026,418455.0945,19194.6983,0.0659,0.2971,51.944,69.7202,0.1087,0.0575,72849103.8551,74088942.5252,30290852.1915,17113,1.0049,0.7101,0.9328,4256.9452,2.2736,0.9449,0.762,0.9149,0.1164,91.3194,0.2835,1.0,36.023,50.8473,67.1217,100.0,49.0752,30
MB-S07,South,1146,1073,0.9371,578,598,1.0356,203,162,0.8004,1833,0.3579,368778.7785,21244.3929,0.0706,0.2064,55.7791,62.9651,0.108,0.0322,90984084.0903,95727164.1852,38421911.6816,22542,0.8879,0.6435,0.9207,4036.2028,3.784,0.9636,0.7355,0.9471,0.0372,92.3366,0.3526,0.977,42.853,42.4452,68.6012,83.9026,48.625,31
MB-E04,East,1526,1393,0.9133,472,590,1.2517,298,270,0.9071,2253,0.2975,387212.6404,19356.6856,0.1016,0.211,32.6039,69.0575,0.0458,-0.0004,75941178.4015,78322447.0032,31463139.8063,24663,1.0107,0.8116,0.9465,3079.1541,3.8372,0.9429,0.7724,0.9452,0.0378,81.7414,0.3387,0.9532,42.61,60.4759,24.9432,67.1749,47.4413,32
MB-E08,East,1355,1385,1.0223,624,698,1.1195,287,293,1.0226,2376,0.3351,420673.1458,21933.5883,0.1056,0.2079,41.9424,48.5966,0.0616,0.0813,68918709.5964,68108863.1539,29812025.7004,21911,0.805,0.8367,0.9525,3145.3932,4.143,0.9077,0.6323,0.91,0.0409,84.6171,0.3946,0.9672,60.7674,35.3238,21.4471,77.0158,46.7765,33
MB-W01,West,1657,1500,0.9057,618,435,0.7042,182,182,1.0038,2117,0.2248,430437.8276,17739.6723,0.0779,0.1974,40.2562,30.0,0.0603,0.0065,79898150.1287,78697713.3055,32942308.1163,19935,1.0446,0.906,0.9989,4007.9333,4.0243,0.9819,0.7359,0.8341,0.0781,85.5153,0.4517,1.0,33.7268,59.2396,37.7444,100.0,46.5726,34
MB-S05,South,952,989,1.0394,410,462,1.1271,213,207,0.9749,1658,0.3184,405661.9058,13096.7503,0.098,0.2379,35.5548,80.3173,0.0395,0.0157,86058202.3276,87876216.8062,27756979.0863,20478,0.917,0.8808,1.0824,4202.4711,3.3061,0.9415,0.7277,0.8968,0.0552,89.6597,0.4077,0.916,41.5017,50.0152,55.5573,41.1366,46.5715,35
MB-N01,North,1581,1297,0.8204,447,520,1.1654,125,137,1.1021,1954,0.2862,403902.1956,17501.7621,0.0885,0.2243,35.9668,72.0809,0.1332,0.0422,84974281.2418,84027780.3428,33602167.2518,18369,0.9748,0.8009,0.8775,4625.9612,3.1614,0.9497,0.6937,0.8841,0.0708,93.9738,0.2972,1.0,30.32,49.1914,71.0997,100.0,46.526,36
MB-N09,North,1308,1247,0.954,520,464,0.8942,218,230,1.0595,1941,0.2712,407872.4667,16167.4792,0.07,0.1897,36.2345,59.0032,0.183,0.138,103734823.9836,90554841.3754,38518531.9272,21384,0.9961,0.8433,1.0876,4851.0486,4.6689,0.9594,0.7557,0.8451,0.0356,90.6007,0.3355,0.8968,34.2574,56.2905,63.1258,27.6341,45.9681,37
MB-N10,North,1136,1188,1.046,545,600,1.101,277,272,0.9828,2060,0.3356,404769.7451,18519.865,0.0861,0.1885,45.4998,92.6646,0.1466,-0.0409,87134102.1855,99422070.7599,30220853.5742,21345,0.9278,0.7619,0.8348,4082.1786,2.7655,0.9349,0.7122,0.9176,0.0885,87.4822,0.3681,0.9445,42.3481,45.4183,43.8625,61.0824,44.5866,38
MB-N08,North,1666,1716,1.0304,555,423,0.7623,274,210,0.7665,2349,0.1978,429080.369,18743.3828,0.0855,0.2417,41.7031,62.5049,0.1171,0.0614,97152914.5263,100783981.6979,43860251.4944,21281,0.9305,0.7767,0.9821,4565.242,3.832,0.8978,0.7144,0.8926,0.0448,86.6421,0.2469,0.9059,40.7865,50.6901,40.3052,34.012,43.8418,39
MB-S10,South,1492,1458,0.9777,531,588,1.1074,131,132,1.0086,2178,0.2874,409159.7066,20430.2686,0.095,0.2048,32.1707,71.9722,0.1337,0.0334,100350269.1018,101051388.501,34394595.6834,17271,0.7725,0.8902,0.9903,5810.3335,3.4594,0.8605,0.6066,0.884,0.0224,91.3254,0.3338,0.9443,46.9125,34.6938,48.8151,60.9334,43.6224,40
MB-W08,West,1691,1616,0.9561,592,474,0.8017,190,178,0.9411,2268,0.2268,452586.1269,23274.192,0.1102,0.2623,41.2452,75.8017,0.058,-0.0122,101498672.0272,95758963.1003,46182229.3554,20121,0.8375,0.7344,1.0163,5044.4149,3.9414,0.8964,0.6582,0.8859,0.0755,87.4784,0.2889,0.9895,42.7997,38.541,37.474,92.6646,43.0036,41
MB-C02,Central,1335,1466,1.0984,638,544,0.8541,307,250,0.8146,2260,0.2706,364941.183,16784.897,0.08,0.1848,35.777,69.956,0.1517,0.007,92055188.0958,101580778.9978,35999451.3517,19620,0.8491,0.7511,0.9723,4691.9056,2.8726,0.9314,0.698,0.9078,0.0718,88.7058,0.3063,0.9877,37.4436,39.9111,47.7314,91.3774,42.5471,42
MB-C05,Central,1315,1198,0.9114,663,487,0.7352,166,158,0.9522,1843,0.289,417034.6767,20585.074,0.0821,0.2832,40.5356,65.4253,0.159,0.0027,89835819.8179,93845870.2245,35111910.7238,23519,1.0221,0.8429,1.0341,3819.7126,3.5561,0.9684,0.6473,0.8819,0.0644,85.3445,0.2968,0.8987,35.6095,52.9072,26.5186,28.9838,39.9688,43
MB-S01,South,1526,1499,0.9828,620,473,0.763,224,201,0.9002,2173,0.2399,386454.8991,20163.9918,0.0713,0.1891,38.4392,103.5406,0.1322,-0.0707,87095767.1947,73811422.9154,37169483.6001,23085,1.031,0.8932,1.023,3772.8294,3.5413,0.9245,0.6905,0.8948,0.0665,84.673,0.3232,0.9484,24.2086,60.8497,28.5675,63.8092,39.6669,44
MB-C03,Central,1397,1425,1.0206,433,378,0.875,152,91,0.6,1894,0.2097,376033.9824,17074.4116,0.0736,0.1708,34.2518,67.039,0.0557,0.0574,60876467.9723,59065340.8648,24025248.867,15559,1.0241,0.8378,1.0128,3912.6209,3.5204,0.9383,0.6783,0.9041,0.0549,86.3742,0.3244,0.8962,32.805,51.3992,34.8345,27.2557,39.3399,45
MB-W04,West,1586,1791,1.1298,754,548,0.7279,126,115,0.9182,2454,0.2343,448593.4374,19703.1743,0.079,0.2288,35.8981,74.1414,0.0963,0.0867,60955112.8536,56125028.4135,31554158.0958,20899,0.9113,0.7725,1.002,2916.6521,3.0749,0.9054,0.561,0.8997,0.0522,87.7921,0.3399,0.9217,45.1214,35.2272,27.4207,45.0891,39.0017,46
MB-W10,West,944,950,1.0067,623,466,0.7488,295,332,1.1287,1748,0.3291,363546.3239,19852.5374,0.0806,0.2214,38.601,72.5515,0.1466,0.0202,84026435.8795,89405046.714,30378921.559,22162,0.8103,0.7585,0.9828,3791.4645,2.7262,0.9444,0.6509,0.8445,0.0464,85.9468,0.3542,1.0,37.722,27.89,29.6724,100.0,36.1873,47
MB-W02,West,991,891,0.9,601,525,0.8736,229,226,0.9896,1642,0.3708,463688.0548,14546.63,0.0989,0.1522,48.9233,61.1325,0.119,0.0396,97228899.463,94765758.1701,47400779.8671,14526,0.8295,0.7158,1.0031,6693.4393,2.5562,0.99,0.7164,0.9389,0.0387,89.089,0.3775,0.9217,21.7787,44.5115,51.639,45.139,35.3822,48
MB-C08,Central,1664,1589,0.9555,398,238,0.6,307,282,0.9205,2109,0.1303,408063.1253,17969.052,0.0793,0.2398,39.667,83.585,0.1133,0.092,77952502.7483,76634932.0453,33399764.0724,18652,0.7425,0.7111,0.9824,4179.3107,3.3383,0.9205,0.6578,0.8908,0.068,93.8564,0.3354,0.9406,26.9724,25.0249,66.3265,58.3267,33.7616,49
MB-E07,East,1468,1497,1.02,700,546,0.78,212,162,0.7663,2205,0.2673,421686.8917,16463.2357,0.0655,0.2372,58.0,104.0,0.27,-0.0132,86075846.9756,79290632.616,30628161.6321,17659,0.79,0.7989,0.9244,4874.333,4.3643,0.942,0.61,0.8147,0.0546,83.0,0.3516,0.8574,23.6605,24.3719,11.4877,0.0,20.9005,50
